vm,vc,ts,sp,id,hot,rad,,,
3,14.71704257,505.5,10,25,28.4887307,27.72196402,,,
3,14.71773522,505.6,10,25,28.48759678,27.7208216,,,
3,14.71841906,505.7,10,25,28.4864636,27.71968011,,,
3,14.71909417,505.8,10,25,28.48533116,27.71853956,,,
3,14.71976062,505.9,10,25,28.48419947,27.71739993,,,
3,14.72041851,506,10,25,28.48306852,27.71626122,,,
3,14.72106791,506.1,10,25,28.4819383,27.71512345,,,
3,14.7217089,506.2,10,25,28.48080884,27.7139866,,,
3,14.72234156,506.3,10,25,28.47968012,27.71285067,,,
3,14.72296598,506.4,10,25,28.47855214,27.71171567,,,
3,14.72358222,506.5,10,25,28.47742491,27.71058159,,,
3,14.72419038,506.6,10,25,28.47629843,27.70944844,,,
3,14.72479051,506.7,10,25,28.47517269,27.7083162,,,
3,14.72538271,506.8,10,25,28.4740477,27.70718489,,,
3,14.72596704,506.9,10,25,28.47292346,27.70605449,,,
3,14.72654359,507,10,25,28.47179998,27.70492501,,,
3,14.72711241,507.1,10,25,28.47067724,27.70379645,,,
3,14.7276736,507.2,10,25,28.46955525,27.7026688,,,
3,14.72822721,507.3,10,25,28.46843401,27.70154207,,,
3,14.72877332,507.4,10,25,28.46731353,27.70041625,,,
3,14.72931201,507.5,10,25,28.4661938,27.69929134,,,
3,14.72984334,507.6,10,25,28.46507482,27.69816735,,,
3,14.73036739,507.7,10,25,28.4639566,27.69704427,,,
3,14.73088422,507.8,10,25,28.46283913,27.6959221,,,
3,14.7313939,507.9,10,25,28.46172242,27.69480084,,,
3,14.7318965,508,10,25,28.46060647,27.69368048,,,
3,14.73239208,508.1,10,25,28.45949127,27.69256104,,,
3,14.73288072,508.2,10,25,28.45837682,27.6914425,,,
3,14.73336248,508.3,10,25,28.45726314,27.69032486,,,
3,14.73383742,508.4,10,25,28.45615021,27.68920813,,,
3,14.73430562,508.5,10,25,28.45503804,27.68809231,,,
3,14.73476713,508.6,10,25,28.45392663,27.68697738,,,
3,14.73522201,508.7,10,25,28.45281598,27.68586336,,,
3,14.73567034,508.8,10,25,28.4517061,27.68475024,,,
3,14.73611217,508.9,10,25,28.45059697,27.68363802,,,
3,14.73654757,509,10,25,28.4494886,27.6825267,,,
3,14.73697659,509.1,10,25,28.44838099,27.68141627,,,
3,14.7373993,509.2,10,25,28.44727415,27.68030675,,,
3,14.73781576,509.3,10,25,28.44616807,27.67919811,,,
